,Date,DXY_close,IDCOTCTR_close,SKEW_close,WGREIT_close,VVIX_close,US10Y_close,US3M_close,USIG_close,USHY_close,VIX_close,CL_close,BCOMGC_close,SP_close,FESX_close,US_close,SI_close,N225_close,NQ_close,MOVE_close,TY_close,FGBL_close,JPY_close,CHF_close
137,2000-07-12,108.12,,,,,6.0781,6.164,,,20.03,,49.56,1505.75,,97.53,4.976,17342.13,,,98.38,,108.05,1.6521
138,2000-07-13,108.54,,,,,6.0078,6.166,,,20.03,,49.47,1509.5,,98.44,4.983,17036.9,,,98.89,,107.81,1.6541
139,2000-07-14,108.45,,,,,6.1005,6.162,,,19.32,,49.65,1524.0,,97.53,5.003,17142.9,,,98.17,,107.85,1.6512
140,2000-07-17,108.7,,,,,6.1484,6.146,,,19.45,,50.07,1522.0,,96.91,5.018,17286.83,,,97.83,,108.22,1.6535
141,2000-07-18,109.38,,,,,6.1445,6.131,,,19.75,,49.88,1511.5,,96.94,5.022,16945.07,,,97.86,,108.15,1.6752
142,2000-07-19,109.59,,,,,6.1641,6.146,,,19.65,,49.28,1500.25,,96.91,4.982,16983.57,,,97.86,,107.5,1.6762
143,2000-07-20,108.61,,,,,6.0117,6.181,,,18.94,,49.4,1516.25,,98.47,4.996,,,,98.88,,108.97,1.6618
144,2000-07-21,108.42,,,,,5.9977,6.1,,,18.94,,49.44,1489.5,,98.69,4.926,16811.49,,,98.97,,108.92,1.6605
145,2000-07-24,108.69,,,,,6.0273,6.141,,,19.92,,49.23,1481.5,,98.44,4.946,16547.12,,,98.67,,109.12,1.6648
146,2000-07-25,108.38,,,,,6.0312,6.134,,,19.39,,49.23,1484.5,,98.53,4.992,16573.59,,,98.77,,109.11,1.6534
147,2000-07-26,108.11,,,,,6.0273,6.177,,,19.67,,49.3,1469.0,,98.44,4.952,16502.61,,,98.78,,109.2,1.6479
148,2000-07-27,108.89,,,,,6.0,6.197,,,19.6,,49.11,1463.75,,98.94,4.967,16182.01,,,99.02,,109.63,1.6638
149,2000-07-28,109.74,,,,,6.0356,6.183,,,20.84,,49.0,1432.0,,98.72,4.968,15838.57,,,98.86,,109.52,1.6757
150,2000-07-31,109.57,,,,,6.0391,6.203,,,20.74,,48.83,1439.0,,98.59,5.006,15727.49,,,98.89,,109.23,1.6708
151,2000-08-01,110.05,,,,,5.9883,6.136,,,20.55,,48.83,1447.5,,98.97,4.996,16099.67,,,99.19,,108.68,1.6893
152,2000-08-02,110.67,,,,,5.9336,6.24,,,20.0,,48.76,1452.5,,99.03,4.991,16206.19,,,99.36,,108.33,1.6884
153,2000-08-03,110.98,,,,,5.9531,6.218,,,19.99,,48.19,1461.5,,99.38,4.974,15814.44,,,99.5,,108.58,1.7043
154,2000-08-04,110.85,,,,,5.9055,6.209,,,18.62,,48.04,1471.75,,99.69,4.912,15667.36,,,99.8,,108.62,1.7055
155,2000-08-07,110.8,,,,,5.9609,6.234,,,19.03,,48.12,1486.25,,99.31,4.939,16002.71,,,99.48,,108.57,1.706
156,2000-08-08,111.32,,,,,5.918,6.102,,,18.79,,48.06,1491.75,,99.66,4.904,15820.11,,,99.77,,107.92,1.7115
157,2000-08-09,111.44,,,,,5.918,6.219,,,19.18,,47.81,1481.0,,99.78,4.89,16034.6,,,99.83,,107.7,1.7155
158,2000-08-10,110.9,,,,,5.7617,6.239,,,19.19,,47.87,1474.25,,100.06,4.9,15975.65,,,99.98,,108.46,1.7045
159,2000-08-11,111.21,,,,,5.7906,6.236,,,18.55,,48.33,1478.5,,99.66,4.923,16117.5,,,99.59,,108.53,1.7218
160,2000-08-14,111.08,,,,,5.7695,6.268,,,17.88,,48.21,1498.0,,100.0,4.888,16153.91,,,99.73,,109.03,1.7188
161,2000-08-15,110.51,,,,,5.8008,6.251,,,17.98,,48.21,1494.75,,99.75,4.863,16298.29,,,99.56,,108.4,1.7108
162,2000-08-16,110.26,,,,,5.8359,6.255,,,18.02,,48.68,1491.5,,99.47,4.855,16356.03,,,99.44,,108.54,1.706
163,2000-08-17,110.11,,,,,5.8203,6.254,,,17.48,,48.73,1503.5,,99.78,4.868,16161.03,,,99.5,,108.27,1.707
164,2000-08-18,111.01,,,,,5.7769,6.256,,,17.05,,48.57,1500.75,,100.09,4.842,16280.49,,,99.73,,108.41,1.7213
165,2000-08-21,111.46,,,,,5.7852,6.255,,,17.35,,48.28,1506.75,,99.84,4.855,16040.18,,,99.66,,108.3,1.7312
166,2000-08-22,111.79,,,,,5.7773,6.263,,,17.47,,47.99,1507.5,,99.91,4.835,16454.74,,,99.72,,106.98,1.7392
167,2000-08-23,111.42,,,,,5.7266,6.283,,,17.38,,47.54,1510.25,,100.38,4.79,16436.65,,,100.11,,106.99,1.7196
168,2000-08-24,111.23,,,,,5.7188,6.282,,,17.04,,47.85,1515.25,,100.5,4.852,16670.82,,,100.12,,106.8,1.712
169,2000-08-25,111.35,,,,,5.733,6.289,,,16.53,,48.04,1513.5,,100.44,4.887,16911.33,,,100.12,,106.85,1.7091
170,2000-08-28,111.46,,,,,5.7695,6.298,,,16.54,,48.02,1518.75,,99.84,4.927,17181.12,,,99.8,,106.13,1.7143
171,2000-08-29,112.2,,,,,5.8125,6.306,,,16.89,,47.85,1518.25,,99.53,4.943,17141.75,,,99.56,,106.61,1.7333
172,2000-08-30,112.14,,,,,5.793,6.323,,,17.69,,47.97,1503.5,,99.69,4.93,16901.67,,,99.59,,106.67,1.729
173,2000-08-31,112.6,,,,,5.7266,6.307,,,16.84,,48.64,1521.25,,100.38,5.003,16861.26,,,100.16,,105.95,1.7412
174,2000-09-01,111.42,,,,,5.685,6.263,,,17.53,,48.44,1523.25,,100.56,5.004,16739.78,,,100.53,,106.0,1.7247
175,2000-09-04,,,,,,,,,,,,,,,,,16688.21,,,,,105.86,1.7306
176,2000-09-05,112.41,,,,,5.6875,6.233,,,19.82,,48.23,1512.25,,100.56,4.998,16452.27,,,100.53,,105.93,1.745
177,2000-09-06,114.12,,,,,5.7266,6.203,,,20.79,,47.92,1494.0,,100.06,4.983,16399.87,,,100.27,,105.14,1.7789
178,2000-09-07,113.65,,,,,5.75,6.186,,,19.42,,47.88,1506.5,,99.84,4.935,16300.46,,,100.03,,106.11,1.7767
179,2000-09-08,114.34,,,,,5.7368,6.142,,,18.46,,47.73,1519.0,,100.12,4.923,16501.55,,,100.25,,106.13,1.7828
180,2000-09-11,115.37,,,,,5.7734,6.104,,,18.4,,47.73,1514.0,,99.72,4.885,16130.9,,,100.03,,106.92,1.7738
181,2000-09-12,115.17,,,,,5.7773,6.084,,,18.59,,47.69,1504.0,,99.62,4.909,16040.23,,,100.03,,107.06,1.7655
